query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
12,19,59.7343,19.8962,52.1319,14.1272
12,20,56.5433,17.36,53.8445,10.5082
12,21,55.8797,16.7867,55.7815,11.0019
12,22,56.3398,17.8156,51.3623,12.6898
12,23,55.837,16.6804,54.9213,13.7421
12,24,52.6516,21.8925,52.8077,11.9937
12,25,53.8374,18.2076,50.8766,11.6222
12,26,57.1638,16.4019,57.0041,12.0416
12,27,54.7223,16.0351,53.9572,10.48
12,28,56.1735,16.2219,53.7129,10.7662
12,29,56.7471,18.3262,52.8141,12.3261
12,30,57.203,17.995,54.4865,11.8594
13,1,50.5735,45.1623,50.0702,47.4369
13,2,48.0843,46.8778,45.6386,41.6533
13,3,51.1168,53.3712,48.1028,47.448
13,4,50.2228,50.7242,49.1728,51.1219
13,5,49.1698,49.0787,49.9942,48.8311
13,6,49.2464,48.3994,51.781,51.2316
13,7,47.0512,46.5677,45.6311,46.3805
13,8,52.2964,49.355,44.284,47.728
13,9,48.1202,48.4327,51.7682,49.4149
13,10,45.4814,49.3408,50.8333,54.0909
13,11,52.105,44.7325,47.9771,46.3129
13,12,52.0282,46.89,47.7282,50.0013
13,13,47.0421,48.7474,51.428,45.8693
13,14,51.0478,47.1895,49.4649,52.5107
13,15,49.0778,50.3272,50.0793,44.4603
13,16,52.8123,48.091,48.3613,47.3287
13,17,51.0082,46.2459,48.2953,47.0614
13,18,47.9034,45.8496,48.1698,47.7985
13,19,47.2048,47.6345,52.051,48.9104
13,20,50.2191,46.8721,46.1597,49.8045
13,21,50.4642,44.7288,45.215,51.5876
13,22,51.3322,47.373,48.3658,50.5197
13,23,53.2478,49.1335,51.05,47.0052
13,24,50.552,48.9371,45.7212,48.0026
13,25,48.7347,48.3839,47.0166,50.2248
13,26,45.8691,48.5649,48.7419,47.8608
13,27,49.152,48.5973,48.4145,49.4279
13,28,48.0557,47.46,48.1058,50.3376
13,29,51.8583,51.4016,51.0251,44.4748
13,30,50.218,47.1402,48.3071,46.6289
14,1,37.8051,10.8609,34.5113,4.93362
14,2,36.1264,5.04302,31.5538,6.71553
14,3,34.2649,9.04975,31.0439,7.5502
14,4,37.4531,8.67258,31.363,10.2298
14,5,35.5908,7.73255,34.4941,6.48087
14,6,37.9431,6.98887,31.388,5.52056
14,7,34.7497,10.2376,32.1621,6.47876
14,8,32.8788,4.32674,31.7699,5.01795
14,9,38.4966,7.6975,35.0456,6.9465
14,10,32.2671,9.75367,33.8383,9.66169
14,11,29.7085,7.47724,30.4498,4.74805
14,12,37.782,5.90375,33.1355,6.2249
14,13,35.2956,9.1657,30.1416,5.56209
14,14,36.6205,10.1785,30.0326,7.53776
14,15,35.3898,5.90576,35.8779,7.41446
14,16,31.9724,7.73025,36.1368,7.29062
14,17,36.2059,6.45644,29.6645,4.24655
14,18,36.3651,7.07919,35.0096,7.50151
14,19,37.555,5.75963,30.9345,9.42278
14,20,37.3718,9.27587,30.1544,10.1217
14,21,35.837,4.67902,30.3735,8.18183
14,22,32.936,7.04892,33.0044,7.89885
14,23,36.1094,7.74673,34.6284,9.03178
14,24,32.3742,8.96849,35.9282,7.34597
14,25,40.0565,7.21367,30.6516,7.63099
14,26,34.5516,4.71894,35.4317,7.0479
14,27,36.7808,5.02715,31.6898,7.25817
14,28,33.0755,4.11874,30.9063,8.92526
14,29,36.096,5.01366,29.4191,7.94186
14,30,33.0918,9.42478,29.4335,8.76955
15,1,76.4992,47.9011,75.0374,47.2573
15,2,72.8409,47.9413,72.9734,51.2691
15,3,73.8785,49.0819,71.2286,45.607
15,4,80.2582,50.2052,72.3893,43.7808
15,5,76.1564,52.8173,80.0696,49.6295
15,6,78.7289,50.0766,72.8766,46.2106
15,7,77.6166,42.526,75.6223,44.413
15,8,76.0874,39.8196,74.2617,46.1696
15,9,81.1116,45.0588,68.9079,48.1049
15,10,78.7972,46.2469,73.2134,47.7178
15,11,82.5171,50.0917,77.6728,49.3861
15,12,112.589,46.1846,71.5301,47.2943
15,13,113.041,48.9365,74.3159,44.4296
15,14,110.78,50.7653,73.2558,48.4086
15,15,110.091,39.751,74.454,49.3255
15,16,108.964,45.7992,75.7011,48.5869
15,17,108.232,47.3358,74.5981,49.4913
15,18,107.508,46.1374,68.8109,48.4782
15,19,114.546,43.416,72.3779,46.1092
15,20,117.096,42.0266,75.1175,46.3158
15,21,111.83,49.0958,71.5613,49.2317
15,22,108.159,42.2298,72.169,45.121
15,23,106.763,49.5582,72.5298,47.3685
15,24,108.706,48.9579,69.4569,50.1978
15,25,104.885,40.6194,75.3245,45.6266
15,26,107.726,46.0316,74.7284,42.0822
15,27,110.355,50.6161,73.7384,47.3348
15,28,105.913,47.2773,69.7417,51.6376
15,29,107.307,47.1188,76.8911,50.7463
15,30,114.068,47.415,74.7787,40.3499
16,1,23.3766,18.7355,18.4518,-131054.0
16,2,26.2878,17.0458,19.1521,15.1953
16,3,23.6027,18.1012,19.6463,18.8458
16,4,24.3423,19.1328,17.4491,18.9632
16,5,26.4382,18.9467,19.7361,18.7351
16,6,23.9005,18.6297,18.3442,17.4643
16,7,23.5296,15.9498,18.8707,18.1924
16,8,28.1395,14.9895,17.269,18.9898
16,9,25.1247,19.0133,18.953,18.2865
16,10,26.3052,18.8692,18.423,17.8825
16,11,24.5885,19.2645,16.0398,16.7778
16,12,23.4514,18.8667,19.153,17.3553
16,13,24.0535,18.8859,19.6764,18.5618
16,14,26.4277,18.0885,21.5554,18.2715
16,15,26.043,15.5808,20.0139,19.2593
16,16,20.9252,18.0249,18.4713,18.6235
16,17,22.438,14.3253,16.8779,16.4396
16,18,25.1504,16.0689,19.25,17.3852
16,19,25.4745,17.7259,18.7968,17.2601
16,20,23.6371,18.4994,20.0101,18.5913
16,21,25.5337,18.3262,15.6387,17.4273
16,22,24.9065,14.3549,18.6155,17.1248
16,23,23.4447,11.2445,16.75,18.254
16,24,28.0665,18.8725,15.3565,18.5682
16,25,26.5575,14.0667,19.3643,18.33
16,26,23.9128,16.5371,20.4099,15.9835
16,27,22.5057,18.822,18.7374,17.76
16,28,24.9642,15.0726,19.4488,18.4317
16,29,24.7558,15.5912,19.3366,17.9086
16,30,24.8182,16.4964,15.1549,18.1532
17,1,344.952,239.391,267.869,218.469
17,2,397.515,241.538,262.293,234.103
17,3,392.032,241.108,267.921,235.416
17,4,403.874,246.233,263.959,242.155
17,5,399.786,241.576,261.954,244.116
17,6,385.305,239.992,261.0,238.954
17,7,395.903,243.478,263.647,239.492
17,8,391.296,241.176,269.284,234.74
17,9,401.437,240.955,271.288,238.111
17,10,401.645,242.29,267.548,238.218
17,11,391.261,245.491,267.294,235.741
17,12,363.117,240.937,266.679,235.699
17,13,391.831,234.524,267.429,236.016
17,14,399.004,242.505,279.672,236.344
17,15,393.991,240.891,259.676,236.596
17,16,395.348,239.053,264.304,236.028
17,17,394.831,240.68,272.077,241.398
17,18,400.139,238.978,264.829,237.603
17,19,396.882,237.839,261.731,242.218
17,20,401.097,242.977,262.295,242.792
17,21,401.973,240.799,264.176,241.798
17,22,400.487,245.552,260.972,240.646
17,23,397.119,243.511,262.826,241.43
17,24,400.165,237.93,268.056,244.274
17,25,394.581,247.46,266.712,240.989
17,26,388.865,241.65,268.101,239.639
17,27,395.027,244.027,267.19,239.717
17,28,395.72,244.628,261.734,239.716
17,29,395.542,241.881,266.772,242.331
17,30,404.035,242.755,262.522,240.504
18,1,345.007,258.018,278.615,276.927
18,2,356.273,268.505,274.972,274.003
18,3,351.583,263.635,282.886,274.867
18,4,355.642,260.068,279.724,277.38
18,5,341.227,268.841,276.947,271.411
18,6,351.222,263.466,277.819,272.359
18,7,294.764,257.129,278.933,272.016
18,8,347.297,265.819,272.617,267.795
18,9,358.094,271.69,277.213,279.12
18,10,357.42,268.084,277.678,272.196
18,11,348.15,261.431,275.565,279.676
18,12,350.952,269.893,274.836,278.294
18,13,361.87,263.594,280.249,275.634
18,14,349.525,256.594,279.936,273.108
18,15,363.597,266.189,281.065,273.438
18,16,354.005,268.549,278.364,273.922
18,17,345.003,260.571,276.125,273.445
18,18,345.139,263.777,283.875,278.424
18,19,357.098,262.192,277.99,276.613
